,video_id,title,tags,views,likes,dislikes,comment_total,combined_features,index
12,-Egtbs-go4Q,Why Do Female Hyenas Have Pseudo-Penises?!,MiutEarth Miut Earth MiutPhysics Miut Physics arth histry scic virmt virmtal scic arth scic bilgy rprducti psudpis hya masculiizati mimicry,218853.0,9184.0,164.0,896.0,MiutEarth Miut Earth MiutPhysics Miut Physics arth histry scic virmt virmtal scic arth scic bilgy rprducti psudpis hya masculiizati mimicry Why Do Female Hyenas Have Pseudo-Penises?!,12
1241,VQTyRVBkeIw,Why Is Your Grandma So Short?,MiutEarth Miut Earth MiutPhysics Miut Physics arth histry scic virmt virmtal scic arth scic Stutig Stutd Grwth Hight Nutriti Malutriti Malabsrpti Ostprsis Fd iscurity saitati,311893.6666666667,11492.666666666666,310.6666666666667,1229.3333333333333,MiutEarth Miut Earth MiutPhysics Miut Physics arth histry scic virmt virmtal scic arth scic Stutig Stutd Grwth Hight Nutriti Malutriti Malabsrpti Ostprsis Fd iscurity saitati Why Is Your Grandma So Short?,1241
1217,UkMZJrbCRdQ,Why Farming Is Broken (And Always Has Been),MiutEarth Miut Earth MiutPhysics Miut Physics arth histry scic virmt virmtal scic arth scic agricultur farmig prial aual krza plycultur prmacultur atural systms agricultur agrfrstry ally crppig Ws Jacks Lad Istitut,310786.0,12767.8,721.8,1408.2,MiutEarth Miut Earth MiutPhysics Miut Physics arth histry scic virmt virmtal scic arth scic agricultur farmig prial aual krza plycultur prmacultur atural systms agricultur agrfrstry ally crppig Ws Jacks Lad Istitut Why Farming Is Broken (And Always Has Been),1217
326,7pOXunRYJIw,"See Through Suppressor in Super Slow Motion (110,000 fps)  - Smarter Every Day 177",Smartr Evry Day Scic Physics Dsti Sadli Educati Math Smartr Evry Day xprimt atur dmstrati slw mti slw mti ducati math scic scic ducati what is scic Physics f prjcts xprimts scic prjcts supprssr silcr stria silcr c autmatic rifl gu NRA Rifl Sipr,2181912.0,53892.666666666664,1318.3333333333333,2040.0,"Smartr Evry Day Scic Physics Dsti Sadli Educati Math Smartr Evry Day xprimt atur dmstrati slw mti slw mti ducati math scic scic ducati what is scic Physics f prjcts xprimts scic prjcts supprssr silcr stria silcr c autmatic rifl gu NRA Rifl Sipr See Through Suppressor in Super Slow Motion (110,000 fps)  - Smarter Every Day 177",326
1244,VSrEIdhrXB4,How to Build a Teleporter with Aliens,physics miutphysics scic,390679.6,16227.2,614.4,1715.0,physics miutphysics scic How to Build a Teleporter with Aliens,1244
382,96LawfHPh6s,"250,000 DOMINOES! - The American Domino Record - Smarter Every Day 178",Smartr Evry Day Scic Physics Dsti Sadli Educati Smartr Evry Day xprimt slw mti slw mti ducati math scic scic ducati prjcts xprimts scic prjcts dmis simd dmis dmi scic machi hvsh5 Th Icrdibl Scic Machi: GAME ON! GAME ON HEVESH5 gams thmd dmi stup Stv Pric - Spric Machis Lily Hvsh - Hvsh5 Lily Hvsh triblgy,931946.25,27692.0,1115.5,5508.5,"Smartr Evry Day Scic Physics Dsti Sadli Educati Smartr Evry Day xprimt slw mti slw mti ducati math scic scic ducati prjcts xprimts scic prjcts dmis simd dmis dmi scic machi hvsh5 Th Icrdibl Scic Machi: GAME ON! GAME ON HEVESH5 gams thmd dmi stup Stv Pric - Spric Machis Lily Hvsh - Hvsh5 Lily Hvsh triblgy 250,000 DOMINOES! - The American Domino Record - Smarter Every Day 178",382
2435,zcqZHYo7ONs,Bell's Theorem: The Quantum Venn Diagram Paradox,physics miutphysics scic,746995.1666666666,31190.333333333332,816.3333333333334,3480.1666666666665,physics miutphysics scic Bell's Theorem: The Quantum Venn Diagram Paradox,2435
1136,ScmJvmzDcG0,Forensic Science: Last Week Tonight with John Oliver (HBO),frsic scic jh livr frsic scic,3296280.0,67595.6,1733.6,4560.6,frsic scic jh livr frsic scic Forensic Science: Last Week Tonight with John Oliver (HBO),1136
1855,kbvS-aeEi-8,Make Mega Blender VS Coca Cola in Slow Motion - Cause I can,slw mti SLOW MO mak xprimt cca cla isa mga bldr awsm mga slw m guys bldr causica smartr vry day scic physics smartr vry day scic ducati xprimts scic prjcts physics f ppl ar isa,73188.5,3299.0,71.5,466.5,slw mti SLOW MO mak xprimt cca cla isa mga bldr awsm mga slw m guys bldr causica smartr vry day scic physics smartr vry day scic ducati xprimts scic prjcts physics f ppl ar isa Make Mega Blender VS Coca Cola in Slow Motion - Cause I can,1855
543,DHYRxML2SpA,What Animal Will Survive When Everyone Dies?,surviv i spac spac tardigrads tardigrad watr bar mss piglt bactria caibal mass xticti radiati xyg dplti prssur cryptbisis mtablic prcss Itratial Scity f Tardigrad Hutrs hw t fid a tardigrad hw t s a tardigrad wird scic Lw Earth Orbit lif ggi scic aimati aimatd scic blck,422344.0,14616.666666666666,210.66666666666666,2557.0,surviv i spac spac tardigrads tardigrad watr bar mss piglt bactria caibal mass xticti radiati xyg dplti prssur cryptbisis mtablic prcss Itratial Scity f Tardigrad Hutrs hw t fid a tardigrad hw t s a tardigrad wird scic Lw Earth Orbit lif ggi scic aimati aimatd scic blck What Animal Will Survive When Everyone Dies?,543
331,7xCQ4B40wOc,How to Explode a Pumpkin - Don't Actually Do This,lasr cuttr william sma crappy scic scic hallw xpld pumpki blw up blwig up xy actyl xy actyl pumpki pi diy makr xplsi xpldig pumpkis,114294.0,6236.5,44.5,557.5,lasr cuttr william sma crappy scic scic hallw xpld pumpki blw up blwig up xy actyl xy actyl pumpki pi diy makr xplsi xpldig pumpkis How to Explode a Pumpkin - Don't Actually Do This,331
253,5fYkPljB9Zk,Making a Sword with THERMITE!,Thrmit swrd scic mak diy,682513.6,26092.4,632.8,3724.4,Thrmit swrd scic mak diy Making a Sword with THERMITE!,253
2166,sa3G0vBlucg,Preserving the Migration of Giants: Guyana's Arapaima,th fild musum chicag fild musum scic Bilgy (Fild Of Study) bilgy ducati musums aimals histry wrld histry atural histry Fild Musum Of Natural Histry (Musum) Cultur Dcumtary th brai scp brai scp mily grasli hak gr spcis Chicag (City/Tw/Villag) Musum (Buildig Fucti) atur discvry Guyaa arapaima raifrst migrati giat fish suth amrica wm i scic wm i stm ichthylgist,25325.0,1897.3333333333333,10.0,179.66666666666666,th fild musum chicag fild musum scic Bilgy (Fild Of Study) bilgy ducati musums aimals histry wrld histry atural histry Fild Musum Of Natural Histry (Musum) Cultur Dcumtary th brai scp brai scp mily grasli hak gr spcis Chicag (City/Tw/Villag) Musum (Buildig Fucti) atur discvry Guyaa arapaima raifrst migrati giat fish suth amrica wm i scic wm i stm ichthylgist Preserving the Migration of Giants: Guyana's Arapaima,2166
794,JcI8yn7xQWo,Neil deGrasse Tyson Answers Science Questions From Twitter | Tech Support | WIRED,il dgrass tys tch supprt twittr dt startalk uivrs uivrs qustis uivrs qusti qustis twittr tch supprt il dgrass tys tch supprt il dgrass tys twittr il dgrass tys scic il dgrass tys qustis qusti dark mattr higgs bs scic qustis qustis abut th uivrs scic ifrmati il dgrass scic supprt csmic supprt wird wird.cm tch tchlgy,644185.0,22987.0,696.0,2701.0,il dgrass tys tch supprt twittr dt startalk uivrs uivrs qustis uivrs qusti qustis twittr tch supprt il dgrass tys tch supprt il dgrass tys twittr il dgrass tys scic il dgrass tys qustis qusti dark mattr higgs bs scic qustis qustis abut th uivrs scic ifrmati il dgrass scic supprt csmic supprt wird wird.cm tch tchlgy Neil deGrasse Tyson Answers Science Questions From Twitter | Tech Support | WIRED,794
820,K7pQsR8WFSo,Schlieren Imaging in Color!,vritasium scic physics shlir imagig phtgraphy pig-pg ball light clr clur flam match slw-m slw mti,575165.75,27638.25,265.0,2215.75,vritasium scic physics shlir imagig phtgraphy pig-pg ball light clr clur flam match slw-m slw mti Schlieren Imaging in Color!,820
2444,zqE-ultsWt0,BFR | Earth to Earth,[],2268069.6,43610.0,849.8,7532.4,[] BFR | Earth to Earth,2444
